,cpu,cpu_point
570,Intel Core i7-9700 @ 3.00GHz,13372
571,Intel Xeon E-2276G @ 3.80GHz,13371
572,Intel Xeon E-2146G @ 3.50GHz,13356
573,Intel Core i5-11400T @ 1.30GHz,13330
574,Intel Xeon E-2136 @ 3.30GHz,13274
575,Intel Xeon E5-2660 v3 @ 2.60GHz,13272
576,AMD Ryzen 5 3500X,13267
577,AMD Ryzen 5 PRO 2600,13250
578,AMD Ryzen 5 2600,13247
579,AMD Ryzen Embedded V2516,13225
580,Intel Xeon E5-1680 v3 @ 3.20GHz,13214
581,Intel Core i5-11500T @ 1.50GHz,13190
582,Intel Xeon E-2334 @ 3.40GHz,13189
583,Intel Core i7-10700T @ 2.00GHz,13164
584,AMD Ryzen 5 5500U,13151
585,Intel Core i7-1265U,13124
586,Intel Xeon D-2143IT @ 2.20GHz,13107
587,AMD Ryzen 5 1600X,13085
588,Intel Core i5-1245U,13041
589,Intel Core i7-1260U,13024
590,Intel Core i7-8700 @ 3.20GHz,13005
591,AMD Ryzen 3 5300G,13003
592,Intel Xeon E5-4627 v4 @ 2.60GHz,12969
593,Intel Core i3-12100TE,12961
594,Intel Core i5-10500 @ 3.10GHz,12955
595,Intel Xeon E5-2685 v3 @ 2.60GHz,12944
596,Intel Xeon W-10855M @ 2.80GHz,12925
597,Intel Core i7-7800X @ 3.50GHz,12898
598,Intel Xeon Silver 4114 @ 2.20GHz,12852
599,Intel Core i3-12100T,12840
600,AMD Ryzen 5 3500,12830
601,AMD Ryzen 5 PRO 4650U,12818
602,Intel Xeon E5-2618L v4 @ 2.20GHz,12816
603,Intel Core i7-9700E @ 2.60GHz,12751
604,AMD Ryzen 3 3300X,12694
605,Intel Xeon E5-2680 v2 @ 2.80GHz,12672
606,Intel Core i7-5960X @ 3.00GHz,12663
607,Intel Xeon E5-1680 v2 @ 3.00GHz,12589
608,Intel Xeon W-2133 @ 3.60GHz,12531
609,Intel Xeon E5-2649 v3 @ 2.30GHz,12399
610,Intel Core i5-10400F @ 2.90GHz,12391
611,Intel Xeon E5-1660 v3 @ 3.00GHz,12383
612,Intel Xeon E5-2667 v3 @ 3.20GHz,12378
613,Intel Core i5-10505 @ 3.20GHz,12373
614,AMD Ryzen 5 1600,12319
615,Intel Core i5-10400 @ 2.90GHz,12307
616,Intel Core i7-11375H @ 3.30GHz,12236
617,Intel Core i7-10750H @ 2.60GHz,12233
618,Intel Xeon E5-2667 v2 @ 3.30GHz,12217
619,Intel Core i3-1210U,12130
620,Intel Xeon E5-2673 v2 @ 3.30GHz,12128
621,Intel Xeon E5-2692 v2 @ 2.20GHz,12119
622,Intel Core i7-10850H @ 2.70GHz,12111
623,Intel Xeon D-2141I @ 2.20GHz,12083
624,Intel Xeon E5-2687W v2 @ 3.40GHz,12081
625,Intel Core i7-8700B @ 3.20GHz,12078
626,AMD Ryzen 3 PRO 5475U,12074
627,AMD Ryzen 5 PRO 4500U,12049
628,Intel Xeon E-2278GEL @ 2.00GHz,12024
629,Intel Core i5-1245UE,11991
630,Intel Xeon E5-2675 v3 @ 1.80GHz,11960
631,Intel Core i7-11370H @ 3.30GHz,11937
632,Intel Xeon E5-2640 v4 @ 2.40GHz,11831
633,Intel Xeon E-2276M @ 2.80GHz,11828
634,AMD Ryzen 3 5400U,11812
635,Intel Xeon E5-2650L v3 @ 1.80GHz,11806
636,Intel Xeon E5-2650 v3 @ 2.30GHz,11781
637,Intel Xeon E5-2663 v3 @ 2.80GHz,11777
638,Intel Xeon D-2146NT @ 2.30GHz,11736
639,Snapdragon 8cx Gen 3 @ 3.0 GHz,11671
640,AMD Ryzen 3 3100,11650
641,Intel Xeon D-1577 @ 1.30GHz,11645
642,Intel Xeon E5-2630 v4 @ 2.20GHz,11637
643,Intel Core i5-10500H @ 2.50GHz,11614
644,Intel Core i3-1215U,11603
645,Intel Core i7-1250U,11563
646,Intel Xeon E5-2648L v4 @ 1.80GHz,11547
647,Intel Xeon E5-4669 v4 @ 2.20GHz,11523
648,Intel Xeon E5-2670 v2 @ 2.50GHz,11470
649,Intel Xeon E5-1650 v4 @ 3.60GHz,11460
650,Intel Xeon E5-2650L v4 @ 1.70GHz,11436
651,Intel Core i7-9850H @ 2.60GHz,11417
652,Intel Xeon E5-4650 v2 @ 2.40GHz,11389
653,Intel Core i3-11100B @ 3.60GHz,11357
654,Intel Xeon E5-4657L v2 @ 2.40GHz,11353
655,Intel Core i7-6850K @ 3.60GHz,11350
656,Intel Xeon E5-4627 v3 @ 2.60GHz,11344
657,AMD Ryzen 3 4100,11336
658,Intel Xeon E-2186M @ 2.90GHz,11325
659,Intel Xeon E5-2640 v3 @ 2.60GHz,11319
660,AMD Ryzen 3 PRO 4200G,11315
661,AMD Ryzen 3 4300GE,11314
662,Intel Core i5-10500E @ 3.10GHz,11268
663,Intel Core i5-10600T @ 2.40GHz,11210
664,Intel Core i7-9750HF @ 2.60GHz,11159
665,Intel Xeon Silver 4208 @ 2.10GHz,11148
666,Intel Core i7-9750H @ 2.60GHz,11140
667,Intel Xeon E5-2643 v4 @ 3.40GHz,11087
668,AMD Ryzen 3 PRO 5450U,11082
669,AMD Ryzen 3 PRO 4350GE,11082
670,Intel Xeon E5-2628L v4 @ 1.90GHz,11079
671,AMD Ryzen 5 4500U,11053
672,Intel Core i5-11300H @ 3.10GHz,11045
673,Intel Xeon E-2176M @ 2.70GHz,11040
674,Intel Xeon E-2226G @ 3.40GHz,11036
675,Intel Core i7-1195G7 @ 2.90GHz,10982
676,AMD Ryzen 3 PRO 4200GE,10930
677,AMD Ryzen 3 5425U,10922
678,AMD Ryzen 3 PRO 4350G,10914
679,Intel Xeon E5-2630L v4 @ 1.80GHz,10864
680,Apple A12X Bionic,10853
681,Intel Xeon E5-4650 v3 @ 2.10GHz,10838
682,Intel Core i5-9600KF @ 3.70GHz,10803
683,Intel Core i5-11320H @ 3.20GHz,10802
684,Intel Xeon W-2225 @ 4.10GHz,10794
685,Intel Core i5-9600K @ 3.70GHz,10774
686,Intel Core i7-1185G7 @ 3.00GHz,10766
687,AMD Ryzen 3 4300G,10765
688,Intel Core i7-6800K @ 3.40GHz,10757
689,Intel Xeon E-2126G @ 3.30GHz,10747
690,Intel Core i9-8950HK @ 2.90GHz,10744
691,Intel Core i7-9700TE @ 1.80GHz,10740
692,Intel Core i7-9700T @ 2.00GHz,10729
693,Intel Xeon E5-2470 v2 @ 2.40GHz,10591
694,Intel Core i5-1230U,10583
695,Intel Xeon E5-2660 v2 @ 2.20GHz,10562
696,Intel Core i7-11390H @ 3.40GHz,10545
697,Intel Xeon E5-2630 v3 @ 2.40GHz,10540
698,Intel Xeon E5-4620 v3 @ 2.00GHz,10525
699,Intel Core i7-1165G7 @ 2.80GHz,10490
700,Intel Xeon E5-2618L v3 @ 2.30GHz,10464
701,Intel Core i5-1145G7E @ 2.60GHz,10454
702,Intel Xeon D-1567 @ 2.10GHz,10447
703,Intel Xeon E5-2643 v3 @ 3.40GHz,10444
704,AMD Ryzen 5 PRO 1600,10401
705,Intel Xeon E5-1650 v3 @ 3.50GHz,10389
706,Intel Core i5-9500F @ 3.00GHz,10386
707,Intel Xeon E5-4640 v3 @ 1.90GHz,10372
708,Intel Core i3-10325 @ 3.90GHz,10362
709,Intel Core i5-9600 @ 3.10GHz,10356
710,Intel Xeon Silver 4109T @ 2.00GHz,10348
711,Intel Xeon E5-2658 v2 @ 2.40GHz,10331
712,Intel Core i7-8700T @ 2.40GHz,10330
713,Intel Core i7-5930K @ 3.50GHz,10316
714,Intel Xeon E5-1660 v2 @ 3.70GHz,10309
715,Intel Core i7-8850H @ 2.60GHz,10303
716,Intel Core i5-10500T @ 2.30GHz,10292
717,AMD EPYC 3201,10258
718,Intel Core i5-8600K @ 3.60GHz,10257
719,Intel Core i5-1145G7 @ 2.60GHz,10193
720,Intel Xeon Silver 4110 @ 2.10GHz,10191
721,Intel Xeon D-1541 @ 2.10GHz,10170
722,AMD Ryzen 3 PRO 4450U,10056
723,Intel Core i5-1135G7 @ 2.40GHz,10052
724,Intel Xeon D-1540 @ 2.00GHz,10040
725,Intel Core i3-10320 @ 3.80GHz,10027
726,Intel Core i7-8750H @ 2.20GHz,10024
727,Intel Core i5-1145GRE @ 2.60GHz,10003
728,Intel Xeon E5-2650 v2 @ 2.60GHz,9995
729,Intel Core i5-10400T @ 2.00GHz,9991
730,Intel Core i5-1155G7 @ 2.50GHz,9980
731,Intel Core i7-1185G7E @ 2.80GHz,9980
732,Intel Xeon W-2125 @ 4.00GHz,9975
733,Intel Core i7-4960X @ 3.60GHz,9968
734,Intel Core i3-1125G4 @ 2.00GHz,9964
735,Intel Core i5-10500TE @ 2.30GHz,9960
736,Intel Xeon E5-2628L v3 @ 2.00GHz,9949
737,AMD Ryzen 3 5300U,9934
738,Intel Xeon E5-2687W @ 3.10GHz,9930
739,Intel Core i7-10710U @ 1.10GHz,9920
740,Intel Core i7-1068NG7 @ 2.30GHz,9917
741,Intel Xeon E-2234 @ 3.60GHz,9903
742,Intel Core i7-7740X @ 4.30GHz,9891
743,Intel Core i5-8600 @ 3.10GHz,9866
744,Intel Core i5-1140G7 @ 1.10GHz,9865
745,Intel Xeon E5-2648L v3 @ 1.80GHz,9847
746,Intel Core i7-5820K @ 3.30GHz,9828
747,Intel Xeon E5-2690 @ 2.90GHz,9812
748,Intel Xeon E5-2689 @ 2.60GHz,9771
749,Intel Core i5-9500 @ 3.00GHz,9737
750,Intel Xeon E-2244G @ 3.80GHz,9713
751,Intel Core i3-10305 @ 3.80GHz,9689
752,Intel Core i7-7700K @ 4.20GHz,9673
753,Intel Xeon E-2274G @ 4.00GHz,9660
754,AMD Ryzen 5 PRO 3350GE,9643
755,Intel Core i5-8500 @ 3.00GHz,9584
756,Intel Xeon E-2174G @ 3.80GHz,9559
757,Intel Core i5-9400F @ 2.90GHz,9543
758,Intel Core i5-1038NG7 @ 2.00GHz,9527
759,Intel Xeon Gold 5222 @ 3.80GHz,9510
760,Intel Core i5-9400 @ 2.90GHz,9478
761,AMD Ryzen 5 2500X,9438
762,AMD Ryzen 5 PRO 3350G,9431
763,Intel Xeon E5-4620 v2 @ 2.60GHz,9390
764,Intel Xeon E5-4655 v3 @ 2.90GHz,9377
765,Intel Core i7-4930K @ 3.40GHz,9373
766,Intel Xeon E5-2680 @ 2.70GHz,9372
767,Intel Core i5-8500B @ 3.00GHz,9357
768,AMD Ryzen 5 3350GE,9343
769,AMD Ryzen 5 3400G,9338
770,AMD Ryzen 5 PRO 1500,9336
771,Intel Xeon E-2144G @ 3.60GHz,9322
772,Intel Xeon E5-4627 v2 @ 3.30GHz,9320
773,AMD Ryzen 5 PRO 3400G,9295
774,Intel Xeon E5-1650 v2 @ 3.50GHz,9291
775,Intel Xeon E3-1285 v6 @ 4.10GHz,9276
776,Intel Xeon Silver 4108 @ 1.80GHz,9262
777,Intel Core i5-8400 @ 2.80GHz,9240
778,Intel Core i7-1160G7 @ 1.20GHz,9229
779,Intel Xeon D-1587 @ 1.70GHz,9223
780,Intel Xeon E5-2651 v2 @ 1.80GHz,9216
781,Intel Core i5-9500TE @ 2.20GHz,9212
782,Intel Xeon E3-1275 v6 @ 3.80GHz,9202
783,Intel Xeon E5-2620 v4 @ 2.10GHz,9187
784,Intel Xeon E3-1280 v6 @ 3.90GHz,9179
785,Intel Core i3-10300 @ 3.70GHz,9153
786,Intel Core i7-1185GRE @ 2.80GHz,9142
787,Intel Xeon E5-2629 v3 @ 2.40GHz,9139
788,AMD Ryzen 5 3350G,9113
789,Intel Core i7-9850HL @ 1.90GHz,9112
790,AMD Ryzen 5 1500X,9111
791,Intel Core i3-10105F @ 3.70GHz,9106
792,Intel Xeon D-1715TER @ 2.40GHz,9104
793,Intel Xeon D-1548 @ 2.00GHz,9075
794,Intel Xeon E5-2643 v2 @ 3.50GHz,9073
795,Intel Xeon E5-4648 v3 @ 1.70GHz,9061
796,Intel Core i7-6700K @ 4.00GHz,8971
797,Intel Xeon E5-2670 @ 2.60GHz,8958
798,Intel Xeon E5-2630L v3 @ 1.80GHz,8915
799,AMD Ryzen 5 3400GE,8900
800,Intel Xeon E5-2450 v2 @ 2.50GHz,8896
801,Intel Core i5-3170K @ 3.20GHz,8882
802,Intel Core i5-1130G7 @ 1.10GHz,8853
803,Intel Core i3-10100F @ 3.60GHz,8848
804,Intel Core i5-10400H @ 2.60GHz,8841
805,Intel Xeon E3-1270 v6 @ 3.80GHz,8840
806,Intel Core i3-10105 @ 3.70GHz,8831
807,Intel Xeon Gold 5122 @ 3.60GHz,8786
808,Intel Core i3-10100 @ 3.60GHz,8767
809,Intel Core i7-8559U @ 2.70GHz,8752
810,Intel Xeon E-2134 @ 3.50GHz,8741
811,AMD Ryzen 5 2400G,8729
812,Intel Core i7-8809G @ 3.10GHz,8713
813,Intel Xeon W-2223 @ 3.60GHz,8706
814,Intel Xeon E3-1240 v6 @ 3.70GHz,8696
815,ARM X-Gene 32 Core 3300 MHz,8684
816,Intel Core i7-7700 @ 3.60GHz,8653
817,Intel Core i5-10300H @ 2.50GHz,8647
818,Intel Xeon E5-4650 @ 2.70GHz,8630
819,Intel Xeon E5-2648L v2 @ 1.90GHz,8611
820,Intel Xeon E3-1245 v6 @ 3.70GHz,8578
821,Intel Core i7-1065G7 @ 1.30GHz,8551
822,Apple A14 Bionic,8527
823,Intel Core i7-1180G7 @ 1.30GHz,8514
824,Intel Core i5-1035G7 @ 1.20GHz,8502
825,Intel Core i7-3960X @ 3.30GHz,8496
826,AMD Ryzen Embedded V1807B,8491
827,Intel Xeon W-2123 @ 3.60GHz,8489
828,Intel Xeon E3-1275 v5 @ 3.60GHz,8481
829,Intel Core i7-8569U @ 2.80GHz,8479
830,Intel Xeon E5-4650L @ 2.60GHz,8472
831,Intel Core i5-9600T @ 2.30GHz,8464
832,Intel Xeon E5-2628 v3 @ 2.50GHz,8447
833,Intel Xeon E5-1660 @ 3.30GHz,8421
834,Intel Xeon E5-2665 @ 2.40GHz,8411
835,Intel Xeon E3-1585 v5 @ 3.50GHz,8408
836,AMD Ryzen 5 PRO 2400G,8399
837,Intel Core i7-3970X @ 3.50GHz,8396
838,Intel Core i7-8706G @ 3.10GHz,8388
839,Intel Core i5-10200H @ 2.40GHz,8358
840,AMD Ryzen Embedded V1756B,8339
841,Intel Xeon E3-1280 v5 @ 3.70GHz,8332
842,AMD Opteron 6386 SE,8320
843,Intel Xeon E3-1270 v5 @ 3.60GHz,8314
844,Intel Xeon E3-1240 v5 @ 3.50GHz,8294
845,Intel Core i5-8600T @ 2.30GHz,8293
846,Intel Core i5-9400H @ 2.50GHz,8289
847,AMD Ryzen 5 PRO 3400GE,8270
848,Intel Core i5-9500T @ 2.20GHz,8263
849,Intel Xeon E5-2470 @ 2.30GHz,8262
850,AMD Ryzen 7 3750H,8261
851,Intel Core i7-3930K @ 3.20GHz,8250
852,Intel Core i3-10100E @ 3.20GHz,8229
853,Intel Xeon E3-1230 v6 @ 3.50GHz,8206
854,Intel Core i7-8557U @ 1.70GHz,8192
855,Intel Xeon E3-1535M v6 @ 3.10GHz,8189
856,Intel Xeon E-2276ME @ 2.80GHz,8167
857,Intel Core i3-10305T @ 3.00GHz,8136
858,Intel Xeon E3-1260L v5 @ 2.90GHz,8121
859,Intel Core i3-10300T @ 3.00GHz,8119
860,MediaTek MT6983,8112
861,Intel Core i5-1035G4 @ 1.10GHz,8110
862,Intel Xeon E5-2660 @ 2.20GHz,8104
863,Intel Xeon E-2314 @ 2.80GHz,8091
864,Intel Core i7-6700 @ 3.40GHz,8086
865,Intel Xeon E5-1650 @ 3.20GHz,8081
866,AMD Athlon Gold PRO 4150GE,8070
867,Intel Core i5-8259U @ 2.30GHz,8067
868,Intel Xeon E3-1285L v4 @ 3.40GHz,8059
869,Intel Core i7-4790K @ 4.00GHz,8059
870,Intel Core i5-8269U @ 2.60GHz,8055
871,AMD Opteron 6348,8030
872,Intel Xeon E3-1585L v5 @ 3.00GHz,8021
873,Intel Core i5-8400H @ 2.50GHz,8013
874,Intel Core i7-10810U @ 1.10GHz,7998
875,CentaurHauls @2500MHz,7969
876,AMD Ryzen 5 3550H,7963
877,Intel Xeon E3-1230 v5 @ 3.40GHz,7950
878,Intel Xeon E3-1515M v5 @ 2.80GHz,7938
879,Intel Xeon E3-1245 v5 @ 3.50GHz,7933
880,Intel Core i7-8705G @ 3.10GHz,7932
881,Intel Xeon E3-1545M v5 @ 2.90GHz,7926
882,Intel Core i7-8709G @ 3.10GHz,7921
883,Intel Core i5-8260U @ 1.60GHz,7897
884,Intel Xeon E5-2620 v3 @ 2.40GHz,7880
885,AMD Ryzen 5 2600H,7876
886,Intel Core i3-10105T @ 3.00GHz,7850
887,Intel Core i5-9400T @ 1.80GHz,7815
888,Intel Core i7-5775C @ 3.30GHz,7803
889,AMD Ryzen 5 1400,7787
890,Intel Xeon E5-2640 v2 @ 2.00GHz,7785
891,Intel Core i7-5775R @ 3.30GHz,7777
892,Intel Core i5-9300H @ 2.40GHz,7756
893,Intel Core i5-8279U @ 2.40GHz,7732
894,Intel Xeon E3-1575M v5 @ 3.00GHz,7728
895,Intel Xeon E3-1285 v4 @ 3.50GHz,7712
896,AMD Athlon Gold PRO 3150G,7702
897,Intel Core i7-5950HQ @ 2.90GHz,7696
898,Intel Core i3-9350K @ 4.00GHz,7694
899,Intel Core i5-8500T @ 2.10GHz,7692
900,AMD Ryzen 5 3550U,7681
901,Intel Core i5-8257U @ 1.40GHz,7666
902,Intel Xeon E3-1270L v4 @ 3.00GHz,7662
903,AMD Ryzen 5 2400GE,7661
904,AMD Ryzen 7 2800H,7656
905,AMD Ryzen 7 3780U,7651
906,Intel Xeon E5-1630 v4 @ 3.70GHz,7643
907,Intel Xeon E-2224G @ 3.50GHz,7621
908,Intel Core i7-7700T @ 2.90GHz,7608
909,Intel Core i5-1035G1 @ 1.00GHz,7594
910,"Qualcomm Technologies, Inc KONA-IOT",7592
911,Intel Core i5-9300HF @ 2.40GHz,7590
912,AMD Ryzen 3 2300X,7585
913,MediaTek MT6895,7572
914,AMD Ryzen 5 PRO 2400GE,7564
915,AMD Ryzen 3 4300U,7557
916,Intel Core i7-7820HK @ 2.90GHz,7551
917,Intel Core i5-8300H @ 2.30GHz,7535
918,Intel Xeon E5-2450 @ 2.10GHz,7530
919,Intel Xeon E3-1535M v5 @ 2.90GHz,7525
920,Intel Core i7-7920HQ @ 3.10GHz,7512
921,Intel Xeon E3-1271 v3 @ 3.60GHz,7502
922,Intel Xeon E5-2630 v2 @ 2.60GHz,7499
923,AMD Ryzen 3 PRO 1300,7498
924,Intel Xeon E5-2667 @ 2.90GHz,7498
925,Intel Xeon E5-2650L v2 @ 1.70GHz,7475
926,Intel Xeon E-2124G @ 3.40GHz,7468
927,Intel Core i5-8400T @ 1.70GHz,7466
928,Intel Xeon D-1531 @ 2.20GHz,7460
929,Intel Xeon E3-1281 v3 @ 3.70GHz,7458
930,Intel Xeon E5-2637 v3 @ 3.50GHz,7455
931,Intel Core i7-7820EQ @ 3.00GHz,7453
932,Intel Xeon E5-2608L v4 @ 1.60GHz,7447
933,Intel Xeon E5-1630 v3 @ 3.70GHz,7443
934,Intel Xeon E5-1620 v4 @ 3.50GHz,7429
935,Intel Xeon E3-1286 v3 @ 3.70GHz,7418
936,Intel Core i7-6920HQ @ 2.90GHz,7395
937,AMD Ryzen 5 3580U,7383
938,Intel Xeon @ 2.00GHz,7363
939,Intel Core i3-10100T @ 3.00GHz,7363
940,Intel Core i3-9320 @ 3.70GHz,7358
941,Intel Xeon D-1559 @ 1.50GHz,7353
942,Intel Xeon E3-1280 v3 @ 3.60GHz,7352
943,Intel Xeon E3-1276 v3 @ 3.60GHz,7351
944,Intel Xeon E5-2650 @ 2.00GHz,7328
945,AMD Ryzen 7 PRO 3700U,7324
946,AMD Ryzen 7 PRO 2700U,7321
947,Intel Core i3-9350KF @ 4.00GHz,7318
948,AMD Ryzen 3 3200GE,7317
949,Intel Xeon E3-1270 v3 @ 3.50GHz,7301
950,Intel Core i7-995X @ 3.60GHz,7297
951,Intel Xeon E5-2637 v4 @ 3.50GHz,7281
952,AMD Opteron 6281,7279
953,Intel Core i3-9300 @ 3.70GHz,7279
954,AMD Ryzen 7 3700U,7250
955,Intel Core i7-6700T @ 2.80GHz,7246
956,Intel Xeon E3-1246 v3 @ 3.50GHz,7244
957,Intel Core i7-4790 @ 3.60GHz,7235
958,Intel Xeon E5-4610 v3 @ 1.70GHz,7229
959,Intel Xeon E-2224 @ 3.40GHz,7223
960,Intel Xeon W3690 @ 3.47GHz,7223
961,Intel Xeon E3-1275 v3 @ 3.50GHz,7200
962,AMD Ryzen 3 3200G,7188
963,Intel Xeon E5-2628L v2 @ 1.90GHz,7181
964,Intel Xeon D-1537 @ 1.70GHz,7176
965,Intel Xeon D-1539 @ 1.60GHz,7175
966,Intel Core i7-7820HQ @ 2.90GHz,7153
967,Intel Xeon E5-2430 v2 @ 2.50GHz,7147
968,AMD Ryzen 7 3700C,7145
969,Intel Core i7-4940MX @ 3.10GHz,7137
970,Intel Core i7-4770K @ 3.50GHz,7135
971,Intel Core i7-990X @ 3.47GHz,7123
972,Intel Xeon D-1557 @ 1.50GHz,7118
973,Intel Xeon E3-1241 v3 @ 3.50GHz,7099
974,Intel Xeon X5679 @ 3.20GHz,7095
975,AMD Athlon Gold 3150G,7093
976,Intel Core i7-6770HQ @ 2.60GHz,7088
977,Intel Xeon E3-1505M v6 @ 3.00GHz,7083
978,MT6893Z_B/CZA,7081
979,AMD Ryzen 3 PRO 3200GE,7071
980,AMD Athlon Gold PRO 3150GE,7068
981,AMD Ryzen 5 3500U,7066
982,Intel Xeon E3-1240 v3 @ 3.40GHz,7063
983,Intel Core i7-5850EQ @ 2.70GHz,7036
984,Intel Core i7-10610U @ 1.80GHz,7036
985,Intel Core i7-4771 @ 3.50GHz,7031
986,Intel Core i7-4770 @ 3.40GHz,7031
